2011-10-13T14:30:20+09:00|Dacs response ERROR|,W0000545,nil
2011-10-13T14:30:30+09:00|Dacs response ERROR|,W0000540,nil
2011-10-13T14:30:40+09:00|Dacs response ERROR|,W0000549,nil
2011-10-13 14:30:44 +0900nil,3
2011-10-13 14:30:50 +0900nil,4
2011-10-13T14:30:50+09:00|Dacs response ERROR|,W0800540,nil
2011-10-13 14:30:56 +0900nil,5
2011-10-13 14:31:02 +0900nil,6
2011-10-13 14:31:08 +0900nil,7
2011-10-13 14:31:15 +0900nil,8
2011-10-13T14:31:21+09:00 |thermo_thread| nil<br/>
2011-10-13 14:32:09 +0900nil,3
2011-10-13 14:32:15 +0900nil,4
2011-10-13 14:32:21 +0900nil,5
2011-10-13 14:32:27 +0900nil,6
2011-10-13 14:32:33 +0900nil,7
2011-10-13 14:32:39 +0900nil,8
2011-10-13T14:32:45+09:00 |thermo_thread| nil<br/>
2011-10-13 14:33:33 +0900nil,3
2011-10-13 14:33:39 +0900nil,4
2011-10-13 14:33:45 +0900nil,5
2011-10-13 14:33:51 +0900nil,6
2011-10-13 14:33:57 +0900nil,7
2011-10-13 14:34:03 +0900nil,8
2011-10-13T14:34:10+09:00 |thermo_thread| nil<br/>
2011-10-13 14:34:58 +0900nil,3
2011-10-13 14:35:04 +0900nil,4
2011-10-13 14:35:10 +0900nil,5
2011-10-13 14:35:16 +0900nil,6
2011-10-13 14:35:22 +0900nil,7
2011-10-13 14:35:28 +0900nil,8
2011-10-13T14:35:34+09:00 |thermo_thread| nil<br/>
2011-10-13 14:36:22 +0900nil,3
2011-10-13 14:36:28 +0900nil,4
2011-10-13 14:36:34 +0900nil,5
2011-10-13 14:36:40 +0900nil,6
2011-10-13 14:36:46 +0900nil,7
2011-10-13 14:36:52 +0900nil,8
2011-10-13T14:36:58+09:00 |thermo_thread| nil<br/>
2011-10-13 14:37:47 +0900nil,3
2011-10-13 14:37:53 +0900nil,4
2011-10-13 14:37:59 +0900nil,5
2011-10-13 14:38:05 +0900nil,6
2011-10-13 14:38:11 +0900nil,7
2011-10-13 14:38:17 +0900nil,8
2011-10-13T14:38:23+09:00 |thermo_thread| nil<br/>
2011-10-13 14:39:11 +0900nil,3
2011-10-13 14:39:17 +0900nil,4
2011-10-13 14:39:23 +0900nil,5
2011-10-13 14:39:29 +0900nil,6
2011-10-13 14:39:36 +0900nil,7
2011-10-13 14:39:42 +0900nil,8
