# Logfile created on 2016-10-11 09:32:29 +0900 by logger.rb/41954
2016-10-11 09:32:29 +0900,set:23:now:0:step:0,open:false,close:true,emargency:true,0
2016-10-11 09:34:33 +0900,set:23:now:24.2:step:1,open:true,close:false,emargency:false,1
2016-10-11 09:34:53 +0900,set:23:now:24.2:step:1,open:false,close:false,emargency:false,1
2016-10-11 09:35:24 +0900,set:23:now:24.2:step:2,open:true,close:false,emargency:false,2
2016-10-11 09:35:45 +0900,set:23:now:24.2:step:2,open:false,close:false,emargency:false,2
2016-10-11 10:06:00 +0900,set:23:now:24.6:step:3,open:true,close:false,emargency:false,3
2016-10-11 10:06:20 +0900,set:23:now:24.6:step:3,open:false,close:false,emargency:false,3
2016-10-11 10:30:01 +0900,set:25:now:24.9:step:2,open:false,close:true,emargency:false,2
2016-10-11 10:30:20 +0900,set:25:now:24.9:step:2,open:false,close:false,emargency:false,2
2016-10-11 10:30:51 +0900,set:25:now:24.9:step:1,open:false,close:true,emargency:false,1
2016-10-11 10:31:10 +0900,set:25:now:24.9:step:1,open:false,close:false,emargency:false,1
2016-10-11 11:55:01 +0900,set:25:now:26.1:step:2,open:true,close:false,emargency:false,2
2016-10-11 11:55:22 +0900,set:25:now:26.1:step:2,open:false,close:false,emargency:false,2
2016-10-11 12:30:01 +0900,set:25:now:26.6:step:3,open:true,close:false,emargency:false,3
2016-10-11 12:30:21 +0900,set:25:now:26.6:step:3,open:false,close:false,emargency:false,3
2016-10-11 15:48:07 +0900,set:23:now:26.1:step:0,open:false,close:true,emargency:false,0
2016-10-11 15:59:14 +0900,set:23:now:26.1:step:0,open:false,close:true,emargency:false,0
